SmartCOM:RASP:EQ:10:0.02

Received;ExchTime;Price;AskTotal;BidTotal;OI;HiLimit;LoLimit;Deposit;Rate;Message
22.04.2020 10:00:14.638;22.04.2020 09:59:55.000;101;10736;28469;;;;;;
22.04.2020 10:00:14.810;22.04.2020 09:59:55.000;101;10736;28462;;;;;;
22.04.2020 10:00:15.482;22.04.2020 09:59:55.000;101;10698;28462;;;;;;
22.04.2020 10:00:15.592;22.04.2020 09:59:55.000;101;10734;28462;;;;;;
22.04.2020 10:00:15.779;22.04.2020 09:59:55.000;101;10737;28462;;;;;;
22.04.2020 10:00:15.826;22.04.2020 09:59:55.000;101;10744;28462;;;;;;
22.04.2020 10:00:15.873;22.04.2020 09:59:55.000;101;10749;28462;;;;;;
22.04.2020 10:00:15.936;22.04.2020 09:59:55.000;101;10755;28462;;;;;;
22.04.2020 10:00:15.998;22.04.2020 09:59:55.000;101;10756;28465;;;;;;
22.04.2020 10:00:16.061;22.04.2020 09:59:55.000;101;10756;28472;;;;;;
22.04.2020 10:00:16.545;22.04.2020 09:59:55.000;101;10766;28472;;;;;;
22.04.2020 10:00:16.827;22.04.2020 09:59:55.000;101;10766;28471;;;;;;
22.04.2020 10:00:16.952;22.04.2020 09:59:55.000;101;10738;28471;;;;;;
22.04.2020 10:00:16.983;22.04.2020 09:59:55.000;101;10766;28471;;;;;;
22.04.2020 10:00:17.483;22.04.2020 09:59:55.000;101;10766;28521;;;;;;
22.04.2020 10:00:17.561;22.04.2020 09:59:55.000;101;10738;28521;;;;;;
22.04.2020 10:00:17.655;22.04.2020 09:59:55.000;101;10766;28521;;;;;;
22.04.2020 10:00:17.952;22.04.2020 09:59:55.000;101;10766;28671;;;;;;
22.04.2020 10:00:18.171;22.04.2020 09:59:55.000;101;10766;28672;;;;;;
22.04.2020 10:00:18.374;22.04.2020 09:59:55.000;101;10742;28672;;;;;;
22.04.2020 10:00:18.421;22.04.2020 09:59:55.000;101;10742;28673;;;;;;
22.04.2020 10:00:18.530;22.04.2020 09:59:55.000;101;10766;28673;;;;;;
22.04.2020 10:00:19.077;22.04.2020 09:59:55.000;101;10768;28675;;;;;;
22.04.2020 10:00:19.187;22.04.2020 09:59:55.000;101;10760;28675;;;;;;
22.04.2020 10:00:19.265;22.04.2020 09:59:55.000;101;10768;28675;;;;;;
22.04.2020 10:00:19.312;22.04.2020 09:59:55.000;101;10768;28676;;;;;;
22.04.2020 10:00:19.546;22.04.2020 09:59:55.000;101;10740;28676;;;;;;
22.04.2020 10:00:19.608;22.04.2020 09:59:55.000;101;10768;28676;;;;;;
22.04.2020 10:00:21.406;22.04.2020 09:59:55.000;101;10764;28776;;;;;;
